"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1375,"Daniel Arthuzo",95.0,0,"","BR",3504,6.0,2,3,0,0,7,2,1,27,0,5.0,1023808
1376,"Domenico Zonno",95.0,0,"","IT",1998,6.0,2,6,0,0,14,6,1,54,1,4.0,1334468
1377,"Gino Pastran2",95.0,0,"","AR",1772,2.0,1,1,0,0,3,5,1,9,0,2.0,1251237
1378,"Patryk Górniak2",95.0,0,"","PL",1323,5.0,1,4,0,0,36,11,2,33,0,6.0,1299282
1379,"Lasse Rochstad-Lim",95.0,0,"","SG",1193,6.0,1,2,0,0,4,8,2,23,0,12.0,943011
1380,"Xylus Martin",95.0,0,"","CA",2178,7.0,1,2,0,0,10,3,1,30,0,6.0,438467
1381,"Milton Di Simone",95.0,0,"","AR",1672,8.0,0,3,0,0,13,5,2,35,0,8.0,1162271
1382,"Teodoro Santiesteban",94.9166679,0,"","US",598,8.0,6,25,0,0,186,8,2,161,0,7.0,1083755
1383,"Jerome Vallet",94.6666679,0,"","FR",1154,6.0,7,14,0,0,128,11,2,137,0,7.0,1390379
1384,"Jaiden Page2",94.5,0,"","GB",1428,6.0,9,16,30,3,71,11,2,95,2,5.0,1398795
1385,"Ryan Anderson30",94.5,0,"","US",1163,6.0,8,18,25,2,84,11,2,166,0,6.0,1368760
1386,"Wilmer Correa2",94.5,0,"","PR",1046,5.0,7,10,14,1,97,11,2,84,0,5.0,1379001
1387,"Maurizio Burri",94.5,0,"","CH",1377,8.0,2,10,0,0,49,8,2,111,0,7.0,1370587
1388,"Eduard Dreger",94.3333359,0,"","DE",1849,3.0,10,11,62,4,39,11,1,161,6,3.0,1118515
1389,"Ernesto Martinez Falcone",94.3333321,0,"","MX",887,4.0,11,16,58,5,73,11,2,151,8,4.0,278350
1390,"Colton Taylor3",94.25,0,"","US",1111,5.0,15,20,4,0,121,11,2,222,0,8.0,1252087
1391,"Mattis Bachnick",94.0,0,"","DE",1771,1.0,3,3,27,3,4,11,1,27,3,1.0,1135596
1392,"Matthew Sarette",94.0,0,"","US",1285,6.0,4,9,18,2,70,11,2,70,3,4.0,1233364
1393,"Todd Umeda",94.0,0,"","US",1416,5.0,2,4,1,1,41,11,2,49,0,6.0,1321224
1394,"Emma Dempsey",94.0,0,"","IE",1725,4.0,1,2,10,1,4,6,1,29,0,8.0,664862
1395,"Mark Paz",94.0,0,"","US",1229,6.0,9,22,0,0,253,11,2,201,0,7.0,1383527
1396,"Raheim Swaby",94.0,0,"","JM",1118,5.0,2,2,0,0,13,8,2,23,0,10.0,1339459
1397,"Kimball Carr",94.0,0,"","US",1323,6.0,2,3,0,0,24,11,2,31,0,5.0,1305029
1398,"Maksim Khamets",94.0,0,"","AZ",1338,6.0,2,3,0,0,26,11,2,29,0,9.0,1340919
1399,"Jonathon J Harris",94.0,0,"","AU",2520,3.0,1,1,0,0,3,2,1,15,0,4.0,587545
1400,"Robert Berkovics",94.0,0,"","AT",2011,3.0,1,1,0,0,4,4,1,15,0,7.0,456396
1401,"Ryan Heinemann",94.0,0,"","US",1408,6.0,1,2,0,0,14,11,2,24,0,6.0,1380770
1402,"Jakob Grant-Ward",94.0,0,"","GB",1710,6.0,1,2,0,0,17,5,1,17,0,7.0,1038256
1403,"Georg Stieglmeier",94.0,0,"","DE",1368,7.0,1,3,0,0,22,7,2,31,0,9.0,1172358
1404,"Vasiliy Drach",94.0,0,"","KZ",1738,8.0,1,2,0,0,7,5,2,24,0,11.0,1295457
1405,"Pascal St-Arnaud",94.0,0,"","CA",1085,8.0,1,5,0,0,38,9,2,35,0,7.0,1170323
1406,"Frank Brizuela",93.75,0,"","CA",1268,7.0,5,14,0,0,51,7,2,188,0,10.0,1369966
1407,"Eemil Vehanen",93.5,0,"","FI",3660,7.0,3,6,0,0,24,2,1,68,0,7.0,1141154
1408,"William Skaarup",93.4166679,0,"","DK",816,6.0,10,22,28,3,188,11,2,134,3,5.0,1293143
1409,"Martin Lally",93.3333358,0,"","NZ",784,6.0,9,22,77,7,121,11,2,136,10,4.0,1370570
1410,"Sam Pack",93.25,0,"","US",1610,6.0,8,15,48,3,94,11,1,197,2,6.0,1216449
1411,"Chi Lin Liu",93.25,0,"","TW",1376,6.0,7,15,4,0,91,11,2,193,0,8.0,1343892
1412,"Vladimir Cherepovich",93.0,0,"","KZ",1615,4.0,10,15,31,3,75,11,1,221,1,5.0,1302377
1413,"Athanasios Barnicoat",93.0,0,"","GR",1808,2.0,5,5,40,3,14,11,1,75,3,2.0,1336751
1414,"Oliver Dale",93.0,0,"","CA",1658,5.0,7,9,33,2,70,7,1,121,2,3.0,1084944
1415,"Rui Pinto6",93.0,0,"","PT",1613,3.0,3,4,21,2,13,11,1,57,1,4.0,1388777
1416,"Bo Hellegren",93.0,0,"","SE",1669,5.0,3,5,17,2,20,6,1,52,0,6.0,1254258
1417,"Facundo Duarte3",93.0,0,"","AR",1436,5.0,3,5,7,1,34,11,2,36,1,3.0,1395970
1418,"Marcelo F Souza",93.0,0,"","BR",1737,3.0,2,3,9,1,4,6,1,27,0,4.0,1124228
1419,"Juan Pablo Bermudez",93.0,0,"","MX",1745,6.0,2,4,8,1,14,6,1,34,0,7.0,1122517
1420,"Roberto La Bella2",93.0,0,"","IT",2425,6.0,2,6,8,1,19,3,1,49,0,7.0,1180709
1421,"Joaquin Zuetta",93.0,0,"","AR",875,5.0,5,8,1,0,73,11,2,76,0,5.0,1323382
1422,"Frank Salinas",93.0,0,"","US",1214,6.0,5,11,7,0,127,11,2,118,0,6.0,1389359
1423,"Pablo S Torralba",93.0,0,"","ES",1055,7.0,5,16,10,0,112,11,2,156,1,5.0,1342694
1424,"Sangwoo Lee",93.0,0,"","KR",1407,5.0,4,5,0,0,20,11,2,49,0,6.0,1397581
1425,"Jack David Spickett",93.0,0,"","FI",5378,5.0,2,2,0,0,10,1,1,30,0,10.0,229791
1426,"Kyle Wilkinson3",93.0,0,"","GB",939,5.0,2,4,9,0,21,11,2,27,2,4.0,1282922
1427,"Matthew Rogers17",93.0,0,"","GB",1111,6.0,2,4,0,0,31,11,2,40,0,8.0,1327209
1428,"Scott Sharp6",93.0,0,"","GB",1070,7.0,2,6,0,0,45,11,2,54,1,4.0,1281182
1429,"Palmer Kling",93.0,0,"","US",1675,4.0,1,1,0,0,3,6,1,15,0,10.0,1128645
1430,"Pablo Puyalto",93.0,0,"","ES",2105,6.0,1,2,0,0,11,3,1,30,0,6.0,1377870
1431,"Koji Yamada",93.0,0,"","JP",2787,7.0,1,2,0,0,10,2,1,29,0,5.0,921006
1432,"Theo Djebbour",93.0,0,"","FR",2036,7.0,1,3,0,0,16,3,1,45,0,8.0,805387
1433,"Lionel Ballester",93.0,0,"","FR",1212,8.0,1,4,0,0,19,11,2,28,0,7.0,1397118
1434,"Tom Wiltshire",93.0,0,"","AU",1511,8.0,1,6,0,0,25,5,2,64,0,8.0,1303731
1435,"Donald Burth",93.0,0,"","US",1487,7.0,0,6,0,0,32,7,2,82,0,10.0,1017639
1436,"Christian Revelius Warghusen2",92.5999985,0,"","SE",2034,4.0,14,19,75,4,92,11,1,265,4,3.0,1380294
1437,"Olly Baldwin",92.5,0,"","GB",1709,2.0,8,8,51,4,22,10,1,118,2,2.0,917370
1438,"Ramon Rubinat",92.5,0,"","ES",1082,6.0,6,14,4,1,75,11,2,98,0,5.0,1389783
1439,"Jin Hongfei",92.5,0,"","CN",1178,6.0,4,9,0,0,74,11,2,97,0,8.0,1272382
1440,"Simo Driton2",92.4000015,0,"","AU",1398,7.0,8,20,35,3,128,8,2,189,4,5.0,1218127
